Mã vạch,Tên sản phẩm,Ảnh,Danh mục,Giá bán,Số lượng,Tồn kho,Ghi chú,Cập nhật lúc
8934564100826,Dynamite xoài,,Bánh Kẹo,260,0,,,
8934564100369,Dinamite,,Bánh Kẹo,650,0,,,
089686170733089686171679,Mì xào indo,,Đồ khô,120,0,,,
8936024241667,Cà phê phố sữa,,Đồ khô>>cafe,0,0,,,
resturant36,NẾP CÁI HOA VÀNG,,NƯỚC>>RƯỢU,,45,,,
resturant37,BIA KHÔNG ĐỘ,,NƯỚC>>BIA,450,0,,,
resturant38,RƯỢU NẾP CẨM,,NƯỚC>>RƯỢU,,45,,,
resturant40,その他,,NƯỚC>>BIA,0,0,,,
resturant42,THAP BIA 3L,,NƯỚC>>BIA,,9,,,
resturant43,BIA LON 333,,NƯỚC>>BIA,500,0,,,
resturant44,BIA LON HÀ NỘI,,NƯỚC>>BIA,500,0,,,
resturant48,PHỞ BÒ,,B.P>>PHỞ,950,0,,,
resturant50,PHỞ GÀ,,B.P>>PHỞ,890,0,,,
resturant52,BÚN THỊT NƯỚNG,,B.P>>BUN,950,0,,,
resturant62,CƠM RANG DUA BÒ,,B.P>>CƠM,950,0,,,
resturant72,NEM RÁN,,Chiên,0,0,,,
resturant93,GÀ Ủ MUỐI,,M1,900,0,,,
resturant95,MẸT LÒNG,,M1,,1,,,
resturant94,GÀ Ủ MUỐI NHỎ,,M1,500,0,,,
resturant96,CANH LÒNG,,M1,,2,,,
resturant99,TRÀNG HẤP SẢ,,M1,850,0,,,
resturant100,DẠ DÀY HẤP SẢ,,M1,750,0,,,
resturant102,NEM CHUA,,M1,600,0,,,
resturant105,GIÒ LỤA,,M1,650,0,,,
resturant106,GIÒ BÒ,,M1,700,0,,,
resturant110,GỎI CUỐN,,GỎI,650,0,,,
resturant111,GỎI CUỐN 1本,,GỎI,220,0,,,
resturant112,GỎI SƯA,,GỎI,850,0,,,
resturant113,GỎI TAI HEO,,GỎI,850,0,,,
resturant117,GỎI TÔM THỊT,,GỎI,850,0,,,
8938505676203,Kẹo Lạc,,Bánh Kẹo,390,0,,,
88501574000778935342400282,Bento 1 gói,,Bánh Kẹo,50,0,,,
8938517288517,Mĩ chũ,,Đồ khô>>Mì,0,0,,,
016229901141016229902643016229909048,Nước dừa,,Nước ngọt,0,0,,,
452846230569489361503808898938530224264,Bánh tráng gỏi cuốn,,Đồ khô>>Đồ khô Khác,320,0,,,
89385085843838938517288685,Miến dong,,Đồ khô>>Mì,0,0,,,
16229004019,Nước cốt dừa tươi,,Đồ khô>>Gia Vị,450,0,,,
458272405045689361476538804570071980939,Hành tím khô,,Đồ khô>>Gia Vị,500,0,,,
8938505088013,Sứa ăn liền,,Rau tươi,450,0,,,
4580525723333,Lá mắc mật,,Đông Lạnh>>gia vị đông lạnh,200,0,,,
893622346003645805257230674582724050111,Cá basa cắt khúc,,Đông Lạnh>>cá,500,0,,,
4582724050661,Nghệ tươi,,Đông Lạnh>>gia vị đông lạnh,250,0,,,
8938556388278,Ngô xóc mắm,,Bánh Kẹo,350,0,,,
8850228000151,bò húc,,Nước ngọt,0,0,,,
4959090830515,MÌ CUNG ĐÌNH VỊ BÒ HẦM,,Đồ khô>>Mì,0,0,,,
8936149870692,nem chua rán(hộp),,Đông Lạnh>>chế biến sẵn( chè,1,0,,,
8938507658009,BÁNH DẺO CỐM ĐẬU XANH,,Bánh Kẹo,450,0,,,
8934588233074,Sting dâu330 ml,,Nước ngọt,0,0,,,
8938501805836,Xoài đóng hộp,,Bánh Kẹo,100,0,,,
10008475,Bún bò Huế Vifon,,Đồ khô>>Mì,0,0,,,
8935039514179,Gia vi Phở Bò,,Đồ khô>>Gia Vị,180,0,,,
89348040268178934804020402,Tương Maggi to,,Đồ khô>>Gia Vị,590,0,,,
8936068850344,Sợi bún huế,,Đồ khô>>Mì,0,0,,,
45700719888504582626051292,BÁNH RAM HÀ TĨNH,,Đông Lạnh>>đồ đông lạnh khác,350,0,,,
DL030,Tim heo,,Đông Lạnh>>Bò,750,0,,,
BH001,Bắp lợn(kg),,Đông Lạnh>>Bò,0,0,,,
5645321712345,Móng heo cắt sẵn,,Đông Lạnh>>Bò,550,0,,,
đh001,Dạ dày,,Đông Lạnh>>Bò,700,0,,,
8936184170005,Sả tươi,,Đông Lạnh>>gia vị đông lạnh,350,0,,,
BCCD01,Thịt ba chỉ,,Đông Lạnh>>Bò,0,0,,,
MV018,Vịt quay chặt sẵn (Khay),,Rau tươi,0,0,,,
MV015,Xoài chua,,Rau tươi,1,0,,,
MV005,Gà ủ muối nửa con,,Rau tươi,700,0,,,
gum001,Gà ủ muối 1 con,,Rau tươi,0,0,,,
MV001,Vịt quay 1 con,,Rau tươi,0,0,,,
8935311110426,BÚN BÒ HUẾ HG,,Đồ khô>>Mì,0,0,,,
8938517288807,NẤM HƯƠNG VIỆT NAM,,Đồ khô>>Đồ khô Khác,240,0,,,
45805459305064580545930513,MỘC NHĨ,,Đồ khô>>Đồ khô Khác,160,0,,,
8934734302036,Bột bánh giò,,Đồ khô>>Các loại bột,380,0,,,
4580545930209,Đỗ xanh tách vỏ,,Đồ khô>>Đồ khô Khác,400,0,,,
8938517288012,CÀ PHÊ PHA FIN,,Đồ khô>>cafe,0,0,,,
8934734032032,BỘT NẾP 400G,,Đồ khô>>Các loại bột,380,0,,,
4996530000060,Trứng gà lộn,,Rau tươi,900,0,,,
89350241433538935024123287,Cà phê G7 3in1,,Đồ khô>>cafe,0,0,,,
8934760211920,BÁNH KEM TRỨNG TIPO 220G,,Bánh Kẹo,450,0,,,
88582230084798858223003399,Bim Bim Mix,,Bánh Kẹo,150,0,,,
8936028044516,NƯỚC DÙNG PHỞ BÒ 150G,,Đồ khô>>Gia Vị,390,0,,,
893621502004089360792822338936079287221,Dầu Điều,,Đồ khô>>Gia Vị,190,0,,,
8936190951186,NƯỚC CỐT DỪA 400ML,,Đồ khô>>Gia Vị,280,0,,,
8934712701455,Mắm nêm,,Đồ khô>>Gia Vị,340,0,,,
4710772030070,Chao cay,,Đồ khô>>Gia Vị,530,0,,,
8938517288050,TIÊU XAY,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8938517288050.jpg,Đồ khô>>Gia Vị,190,0,,,2025-11-06 17:34:45
8936017360245,MẮM NAM NGƯ 500ML,,Đồ khô>>Gia Vị,420,0,,,
SP000309,Cóc chua ngọt,,Rau tươi,0,0,,,
SP000308,Me ngâm chua ngọt 500gr,,Rau tươi,0,0,,,
SP000307,Thịt chó 500gr,,Đông Lạnh,,3,,,
SP000306,LẨU LÒNG,,LẨU,,9,,,
SP000303,LẨU BÒ,,LẨU,,9,,,
SP000301,TOM VIEN CHIÊN,,Chiên,700,0,,,
8935063604938,Cóc chua ngọt,,Bánh Kẹo,,1,,,
8938546638000,Cơm cháy tiến vua,,Bánh Kẹo,600,0,,,
8936216430060,Bò viên,,Đông Lạnh,1,0,,,
89362163031288936144001974,Cá viên,,Đông Lạnh,980,0,,,
SP000272,Bánh mì set 2 cái,,Bánh Kẹo,300,0,,,
SP000271,Bánh mì set 3 cái,,Bánh Kẹo,490,0,,,
8935311140195,Bún riêu cua vifon,,Đồ khô,100,0,,,
8935311140713,Bún bò huế ăn liền,,Đồ khô,120,0,,,
8935311140003,Phở bò vifon,,Đồ khô,110,0,,,
8936149870681,Chả quế,,Rau tươi,1,0,,,
SP000265,cha ca Vien,,Đông Lạnh,700,0,,,
8936144001998,cua xay,,Đông Lạnh,500,0,,,
SP000263,VỊT QUAY,,M1,,6,,,
SP000262,Ba Chỉ không Da,,Đông Lạnh,,4,,,
SP000261,Rau cải muối dưa(kg),,Rau tươi,400,0,,,
89345631381658934563106140,mi hao hao,,Đồ khô>>Mì,0,0,,,
SP000248,Óc heo,,Đông Lạnh,800,0,,,
8934743032900,Mít sấy,,Bánh Kẹo,490,0,,,
6971860650015,Huyết vịt,,Đồ khô>>Đồ khô Khác,300,0,,,
SP000247,TRÀ SEN,,NƯỚC>>NƯỚC NGỌT,290,0,,,
SP000245,BÚN RIÊU CUA,,B.P>>BUN,980,0,,,
SP000244,BÚN CHAY,,B.P>>BUN,850,0,,,
SP000242,BÚN THỊT GÀ NUONG,,B.P>>BUN,890,0,,,
MT0001,Ngò gai,,Đông Lạnh,200,0,,,
8936012040419,Gia vị canh chua,,Đồ khô>>Gia Vị,130,0,,,
4580545930599,Lạc sống 500g,,Đồ khô>>Đồ khô Khác,400,0,,,
SP000223,Vải thiều đông lạnh,,Đông Lạnh>>Hoa quả,800,0,,,
8936014310021,Bánh pía Đậu-Sầu,,Bánh Kẹo,790,0,,,
8936014316658,Bánh pía Chay,,Bánh Kẹo,740,0,,,
SP000221,bot rau cau (Sóc Vàng),,Đồ khô>>Gia Vị,150,0,,,
8935311111164,phở bông lúa vàng,,Đồ khô>>Mì,0,0,,,
8936017360221,Tương ớt chisu nhỏ (250g),,Đồ khô>>Gia Vị,300,0,,,
8934760212286,Tipo Sầu Riêng,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934760212286.jpg,Bánh Kẹo,450,0,,,2025-11-08 13:47:49
SP000209,BIA HÀ NỘI,,Nước ngọt,0,0,,,
8934866900278,Kẹo dừa sầu riêng,,Bánh Kẹo,400,0,,,
89385052171098938505217109,Kẹo dừa lá dứa,,Bánh Kẹo,480,0,,,
8938519980242,Mang Chua,,Đồ khô,320,0,,,
8935010801274,mắm tôm bắc tâm đức,,Đồ khô>>Gia Vị,390,0,,,
8934734292030,Bột bánh bột lọc,,Đồ khô>>Các loại bột,380,0,,,
16229000608,hạt đác Seeds,,Rau tươi,600,0,,,
16229000554,Long Nhãn Hộp,,Rau tươi,550,0,,,
8934680033114,cosy soocla,,Bánh Kẹo,250,0,,,
SP000159,tinh dau bưởi,,Bánh Kẹo,450,0,,,
893620970042289385006390128938500639036,sương sáo,,Bánh Kẹo,250,0,,,
89350039000078938506440032,bot rau cau agar,,Bánh Kẹo,150,0,,,
8936004021357,bột rau cau con ca deo,,Bánh Kẹo,100,0,,,
8850370721119,trà thái đỏ,,Bánh Kẹo,750,0,,,
89385050021498938530224400,đậu (đỗ) xanh không vỏ,,Đồ khô>>Đồ khô Khác,400,0,,,
8934777900503,bánh bột lọc,,Đồ khô>>Gia Vị,380,0,,,
SP000137,bột bánh bột lọc,,Đồ khô>>Các loại bột,380,0,,,
893501080204289385302241274580545930742,Nuoc mau cot dua,,Đồ khô>>Gia Vị,250,0,,,
8938505644035,Cha Gio (nem ran),,Đồ khô,320,0,,,
RM0001,rau mùi,,Rau tươi,200,0,,,
resturant63,CƠM THỊT KHO TÀU,,B.P>>CƠM,850,0,,,
resturant61,CƠM RANG THẬP CẨM,,B.P>>CƠM,850,0,,,
resturant58,CHÁO LÒNG,,B.P,850,0,,,
resturant57,THÊM BÚN,,B.P>>BUN,250,0,,,
resturant56,BÚN TRỘN THỊT BÒ,,B.P>>BUN,980,0,,,
resturant55,BÚN BÒ HUẾ,,B.P>>BUN,980,0,,,
resturant53,BÚN ĐẬU MẮM TÔM,,B.P>>BUN,980,0,,,
resturant51,BÚN CHẢ,,B.P>>BUN,950,0,,,
resturant49,PHỞ BÒ TÁI,,B.P>>PHỞ,950,0,,,
resturant47,PHỞ ĐẶC BIỆT,,B.P>>PHỞ,,1,,,
8938507849094,Nước dừa Xiêm xanh,,Nước ngọt,0,0,,,
8938507849131,Nước Dừa Xiêm (1L),,Nước ngọt,0,0,,,
8934637514291,Sate ớt khô,,Đồ khô>>Gia Vị,270,0,,,
5645321898919,Chân gà,,Đông Lạnh>>Gà,700,0,,,
8938526958036,Nem chua(10),,Rau tươi,1,0,,,
SP000069,GÀ LỘN XÀO ME,,XÀO>>GÀ VỊT,660,0,,,
45805257233578936223460227,Lá chanh,,Đông Lạnh>>gia vị đông lạnh,250,0,,,
SP000062,CÁNH GÀ CHIÊN MẮM,,Chiên,0,0,,,
SP000058,CẢI XANH XÀO TỎI,,XÀO>>GÀ VỊT,750,0,,,
SP000047,SET CƠM RANG,,SET,,25,,,
SP000045,SÉT PHỞ BÒ TÁI,,SET,,25,,,
SP000043,SET PHỞ BÒ,,SET,,25,,,
resturant1,NƯỚC XOÀI,,NƯỚC>>NƯỚC NGỌT,290,0,,,
resturant3,NƯỚC CAM,,NƯỚC>>NƯỚC NGỌT,250,0,,,
resturant4,NƯỚC DỪA,,NƯỚC>>NƯỚC NGỌT,290,0,,,
resturant5,DỪA TƯƠI,,NƯỚC>>NƯỚC NGỌT,450,0,,,
resturant6,NƯỚC ME,,NƯỚC>>NƯỚC NGỌT,290,0,,,
resturant9,NƯỚC CHANH LEO,,NƯỚC>>NƯỚC NGỌT,350,0,,,
resturant11,CO CA,,NƯỚC>>NƯỚC NGỌT,290,0,,,
resturant12,CÀ PHÊ PHIN,,NƯỚC>>NƯỚC NGỌT,500,0,,,
resturant14,STING,,NƯỚC>>NƯỚC NGỌT,500,0,,,
resturant13,BÒ HÚC,,NƯỚC>>NƯỚC NGỌT,470,0,,,
69241878448278938546638000,Cơm cháy tiến vua,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/69241878448278938546638000.jpg,Bánh Kẹo,600,0,,,2025-11-07 20:07:53
89397105992266924187844827,huong dương đỏ,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/89397105992266924187844827.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:11:48
Banhtrangtron,Bánh tráng trộn bò sate,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/Banhtrangtron.jpg,Bánh Kẹo,,1,,,2025-11-08 13:15:50
Btt,Xike bò gà,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/Btt.jpg,,,1,,,2025-11-08 13:16:44
8934680025959,Bánh AFC,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934680025959.jpg,Bánh Kẹo,230,0,,,2025-11-08 13:24:01
8850157401289,Bento spicy larb,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8850157401289.jpg,Bánh Kẹo,50,1,100,,2025-11-08 13:28:05
8850157400206,Bento Namprik Thai,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8850157400206.jpg,Bánh Kẹo,,1,,,2025-11-08 13:29:32
8850157400077,Bento sweet spicy,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8850157400077.jpg,Bánh Kẹo,50,0,,,2025-11-08 13:30:55
8850157000864,Bento hot spicy,,,50,1,,,2025-11-08 13:31:46
8850157405300,Bento spice,,Bánh Kẹo,,1,,,2025-11-08 13:32:56
8938510895028,Kẹo dâu tằm,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8938510895028.jpg,Bánh Kẹo,320,0,,,2025-11-08 13:38:14
89385421587868934760212286,Bánh tráng trộn,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/89385421587868934760212286.jpg,Bánh Kẹo,,0,350,,2025-11-08 13:47:35
8934683008737,,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8934683008737.jpg,,,1,,,2025-11-08 13:48:15
89360360274648938544489062,bon ! sốt kem,,Bánh Kẹo,350,0,,,2025-11-08 13:50:56
8936036027464,bon ! sốt kem,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8936036027464.jpg,Bánh Kẹo,350,0,,,2025-11-08 13:53:02
8938544489062,Bánh dừa nướng,https://raw.githubusercontent.com/tngon462/QR/main/kiemkho-images/8938544489062.jpg,Bánh Kẹo,380,1,,,2025-11-08 13:53:58
